gene,logFC,logCPM,F,PValue,FDR,cell_type,scenario,omitted_donor,omitted_group,passes_primary_threshold,scenario_label,model_group,cell_label
SESN3,-1.085125927215,6.5273966953442,19.6641255374353,0.00144444831233815,0.0229549182114217,CD4_NC,Full,"",Full,TRUE,Full model,Full model,CD4 NC
SESN3,-0.923846947295364,6.30857776500579,11.4458431097897,0.00879893433644316,0.106822726112691,CD4_NC,Leave_out_H1,H1,HC,TRUE,Omit H1,Omitted HC,CD4 NC
SESN3,-1.10712262232563,6.39203677846856,14.5002707240287,0.0047868726781499,0.074148296056128,CD4_NC,Leave_out_H2,H2,HC,TRUE,Omit H2,Omitted HC,CD4 NC
SESN3,-1.21049338905822,6.47051462639268,19.4826495754977,0.00190914070255865,0.0627009074515075,CD4_NC,Leave_out_H3,H3,HC,TRUE,Omit H3,Omitted HC,CD4 NC
SESN3,-0.935810871239908,6.6822225906399,16.8900628111892,0.00345842484997781,0.044819462230242,CD4_NC,Leave_out_M0707_01,M0707_01,MG,TRUE,Omit M0707_01,Omitted MG,CD4 NC
SESN3,-1.31212029103315,6.52631186251495,39.329663775439,0.000181219310711387,0.00937413272209953,CD4_NC,Leave_out_M0709_02,M0709_02,MG,TRUE,Omit M0709_02,Omitted MG,CD4 NC
SESN3,-1.09413210512869,6.59460231745453,14.9162297780471,0.0044867718298094,0.0441412477812179,CD4_NC,Leave_out_M0709_03,M0709_03,MG,TRUE,Omit M0709_03,Omitted MG,CD4 NC
SESN3,-0.994690266387402,6.6907461243547,14.4559783461204,0.0046957749402085,0.0410390806222904,CD4_NC,Leave_out_M210715_01,M210715_01,MG,TRUE,Omit M210715_01,Omitted MG,CD4 NC
SESN3,-1.11966105005898,6.41134633147968,12.8332614541982,0.0026479686172213,0.0519633474517098,CD8_NC,Full,"",Full,TRUE,Full model,Full model,CD8 NC
SESN3,-0.845369867505704,6.08600440243343,6.0262399103742,0.0271047874261223,0.258798163926037,CD8_NC,Leave_out_H1,H1,HC,TRUE,Omit H1,Omitted HC,CD8 NC
SESN3,-1.20897598263244,6.28369322040441,10.8129651622318,0.00538089605250922,0.147238093526158,CD8_NC,Leave_out_H2,H2,HC,TRUE,Omit H2,Omitted HC,CD8 NC
SESN3,-1.30103718693231,6.37370505756693,13.9750715198638,0.0018534191527679,0.0961671801311163,CD8_NC,Leave_out_H3,H3,HC,TRUE,Omit H3,Omitted HC,CD8 NC
SESN3,-0.956323555521273,6.50636471536481,10.0543224774988,0.00714882747029802,0.109665416361589,CD8_NC,Leave_out_M0707_01,M0707_01,MG,TRUE,Omit M0707_01,Omitted MG,CD8 NC
SESN3,-1.1638064545562,6.40229952486589,12.5863636971967,0.00273164323327173,0.0396610124206784,CD8_NC,Leave_out_M0709_02,M0709_02,MG,TRUE,Omit M0709_02,Omitted MG,CD8 NC
SESN3,-1.29746290992163,6.45757308968219,13.1303155747772,0.0026266207018858,0.0524745270800986,CD8_NC,Leave_out_M0709_03,M0709_03,MG,TRUE,Omit M0709_03,Omitted MG,CD8 NC
SESN3,-1.07106675668377,6.55818705845739,9.47593060614517,0.00776287055022681,0.111067578447789,CD8_NC,Leave_out_M210715_01,M210715_01,MG,TRUE,Omit M210715_01,Omitted MG,CD8 NC
