gene,logFC,logCPM,F,PValue,FDR,cell_type,scenario,omitted_donor,omitted_group,passes_primary_threshold
FO538757.1,-1.42797864295546,2.4410050939733,17.9639635274617,0.00196030555066079,0.0267571692102293,CD4_NC,Full,,Full,TRUE
MTND1P23,1.61268299365135,1.59053667680249,12.7579888007296,0.00558093083052416,0.0440959850611896,CD4_NC,Full,,Full,TRUE
MTND2P28,-4.65184447599776,7.31281398231508,5.78672037564491,0.0531449243665627,0.158207581160969,CD4_NC,Full,,Full,FALSE
MTCO1P12,-0.188776838528694,5.7604722343663,0.881441465619865,0.371130656492746,0.546122523695387,CD4_NC,Full,,Full,FALSE
MTCO2P12,1.08478617561218,1.58814277465855,2.41605142062309,0.153015085099193,0.304750674705512,CD4_NC,Full,,Full,FALSE
MTATP6P1,0.69583649156454,9.96019505047994,5.99205609254299,0.0356329866055542,0.124258115587792,CD4_NC,Full,,Full,TRUE
MTCO3P12,0.621951288568066,2.21269779403303,1.02067444384443,0.337551714720219,0.512945437067025,CD4_NC,Full,,Full,FALSE
AL669831.1,-0.280786988663043,2.52874805725068,0.655231155417487,0.438185620521672,0.605627079058179,CD4_NC,Full,,Full,FALSE
AL669831.4,-0.19559171065377,2.59419614057228,0.221529433111599,0.648563746262049,0.775266924466112,CD4_NC,Full,,Full,FALSE
LINC01128,-0.471200722006989,3.78804877738687,2.75770134668408,0.129492245782031,0.275052489359248,CD4_NC,Full,,Full,FALSE
LINC00115,0.26242810119662,2.42248750910549,0.484805101266187,0.503032991654075,0.66029286405793,CD4_NC,Full,,Full,FALSE
NOC2L,-0.789993887364181,5.13339534669388,28.788595057031,0.000381030584728065,0.0138861305298662,CD4_NC,Full,,Full,TRUE
KLHL17,0.0592522442855238,2.50003852183505,0.0408654490334038,0.844087158545628,0.908570310675231,CD4_NC,Full,,Full,FALSE
PLEKHN1,0.698658202839322,1.27218269980952,1.8978465347958,0.20015493085199,0.363327212124144,CD4_NC,Full,,Full,FALSE
HES4,1.18540018758649,1.33386056405945,1.8023731374578,0.21168607127322,0.376788084596487,CD4_NC,Full,,Full,FALSE
ISG15,0.453818695455844,7.1596952488923,2.05001078761243,0.184364437543181,0.343447405473393,CD4_NC,Full,,Full,FALSE
C1orf159,0.386948105719894,2.51690565250103,1.24797119736282,0.291543305655361,0.466079487707927,CD4_NC,Full,,Full,FALSE
TNFRSF18,0.32742349919424,3.55355669863736,0.935192666505805,0.35757126749636,0.533044884194573,CD4_NC,Full,,Full,FALSE
TNFRSF4,0.320404800230286,5.36723061961611,3.03997123365666,0.113532008626947,0.253510674618743,CD4_NC,Full,,Full,FALSE
SDF4,0.212294336556594,6.08107198217144,0.964131751131595,0.350562420361835,0.52569799630284,CD4_NC,Full,,Full,FALSE
B3GALT6,-0.277240647144141,3.95417956870103,1.26015039960964,0.289282167339724,0.464028426300259,CD4_NC,Full,,Full,FALSE
UBE2J2,0.190772949215804,5.33864831824479,0.961473232569649,0.351197458750269,0.526384190923988,CD4_NC,Full,,Full,FALSE
ACAP3,0.0316422441069913,3.41364961236761,0.0189131761108978,0.893497154720515,0.941880938901876,CD4_NC,Full,,Full,FALSE
