cell_type,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,FDR_within_celltype,FDR_across_all_evaluable_tests,test_status,pathway_label
CD4_NC,HALLMARK_ADIPOGENESIS,0.0209695485729659,0.0524238714324146,0.352487857583619,0.31971617752289,1.32316467180211,154,GPX4|DNAJC15|UBC|CD302|COX7B|GADD45A|CD36|DRAM2|DNAJB9|UQCRQ|ARL4A|ALDH2|DDT|CYC1|NDUFB7|RTN3|CD151|NDUFA5|COX6A1|SUCLG1|MGST3|UQCR10|TALDO1|DECR1|SOD1|NDUFAB1|REEP6|SDHC|MDH2|ETFB|PHYH|COX8A|REEP5|BCL2L13|IDH3G|PTCD3|GRPEL1|SDHB|DHRS7|TOB1|SCP2|ATP1B3|JAGN1|ACAA2|RAB34|CCNG2|CHCHD10,0.0524238714324146,0.053768073264015,Evaluated,ADIPOGENESIS
CD4_NC,HALLMARK_ALLOGRAFT_REJECTION,0.0071503098449648,0.0210303230734259,0.407017918923954,0.346491602335239,1.43675325927039,157,SRGN|IL1B|HLA-A|SPI1|HLA-DRA|IGSF6|CTSS|RPS9|LY86|RIPK2|IFNG|HLA-DMA|CD86|CCR1|HLA-DMB|CDKN2A|TIMP1|NCF4|TNF|IL2|RPS19|CCL5|CD96|B2M|CD8B|RPS3A|CCL4|HLA-DQA1|FGR|CD3D|IFNGR2|LYN|HDAC9|FCGR2B|CAPG|CD79A|IL15|CD3E|CD8A|IL18|CD1D|PSMB10|F2R|RPL9|ICAM1|CFP|GZMB|IRF8|GZMA|HLA-DOA|CRTAM|GLMN,0.0210303230734259,0.0227938583311535,Evaluated,ALLOGRAFT REJECTION
CD4_NC,HALLMARK_ANDROGEN_RESPONSE,0.851351351351351,0.915606589365455,0.0453152441270267,0.212935755871247,0.80271636942786,77,SAT1|SGK1|DNAJB9|SORD|B2M|RAB4A|ZBTB10|DBI|TMEM50A|SRP19|PA2G4|HPGD|ELL2|CDC14B|SPCS3|INSIG1|VAPA|AKT1,0.915606589365455,0.886824324324324,Evaluated,ANDROGEN RESPONSE
CD4_NC,HALLMARK_ANGIOGENESIS,0.117082533589251,0.188842796111696,0.179782316298324,0.542875995710314,1.32246691582113,12,S100A4|TIMP1|VEGFA|VCAN,0.188842796111696,0.201296348484238,Evaluated,ANGIOGENESIS
CD4_NC,HALLMARK_APICAL_JUNCTION,0.193317422434368,0.25703794369645,0.154190966581424,-0.283040841842903,-1.15793804905164,111,MYH9|PLCG1|SHC1|PTEN|NF2|AKT2|AMIGO2|AMIGO1|TAOK2|SYMPK|MAPK14|LDLRAP1|CAP1|ZYX|PTPRC|ACTN1|MAPK13|ACTN4|VCL|AKT3|LIMA1|CDK8|CRAT|IRS1|CNN2|DSC1|IKBKG|MSN|THBS3|YWHAH,0.25703794369645,0.284487385936661,Evaluated,APICAL JUNCTION
CD4_NC,HALLMARK_APICAL_SURFACE,0.764065335753176,0.848961484170196,0.0535669384770951,0.270238559683408,0.817100058501837,26,PLAUR|LYN|LYPD3|SULF2|DCBLD2|CD160,0.848961484170196,0.830505799731713,Evaluated,APICAL SURFACE
CD4_NC,HALLMARK_APOPTOSIS,0.00376578072145428,0.0134492168623367,0.431707695803346,0.373462261019245,1.50331817091373,124,SAT1|GPX4|IL1B|CDKN1A|GADD45A|IER3|LGALS3|DDIT3|ATF3|GPX1|RHOB|CD69|PMAIP1|JUN|GADD45B|IFITM3|BAX|BTG3|BTG2|BIRC3|HMOX1|RHOT2|TIMP1|TSPO|TNF|CD14|MGMT,0.0134492168623367,0.0170361284061738,Evaluated,APOPTOSIS
CD4_NC,HALLMARK_BILE_ACID_METABOLISM,0.895575221238938,0.932890855457227,0.0451344222209097,0.214285438329969,0.776340711347774,65,GSTK1|AQP9|SLC27A5|PRDX5|HSD17B11|APOA1|RXRA|SOD1|PHYH|HACL1|PEX16|SCP2|PEX7|SLC35B2|ALDH1A1,0.932890855457227,0.913852266570345,Evaluated,BILE ACID METABOLISM
CD4_NC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0487804878048781,0.101626016260163,0.271288554688953,0.38336599904952,1.37422694010803,58,NFIL3|LGALS3|ATF3|ETHE1|PLAUR|CXCL16|CD9|ATF5|FBXO6|GUSB|FABP5|ANXA5|EBP|STARD4|FDFT1|MVD|TP53INP1|TMEM97|FDPS|SC5D|IDI1|S100A11|ACAT2|CLU|HSD17B7|PMVK|TM7SF2,0.101626016260163,0.103788271925272,Evaluated,CHOLESTEROL HOMEOSTASIS
CD4_NC,HALLMARK_COAGULATION,0.0349582239228546,0.0832338664829872,0.321775918075361,0.396618002713189,1.40041466368546,55,DUSP6|PLEK|MAFF|CD9|TIMP1|SERPINA1|F8|SERPING1|APOA1|CTSH|CFD|MSRB2|GSN|ANG|ADAM9|PRSS23,0.0832338664829872,0.0812981951694294,Evaluated,COAGULATION
CD4_NC,HALLMARK_COMPLEMENT,0.000638154746105772,0.00398846716316108,0.477270815362862,0.384551397026321,1.56806625079612,139,TNFAIP3|DUSP6|FCER1G|S100A9|CTSD|LGALS3|CD36|CTSS|PLEK|CDA|FCN1|ATOX1|PLAUR|CTSL|S100A12|MAFF|CTSC|RCE1|TIMP1|SERPINA1|CALM1|GRB2|CCL5|PSMB9|F8|USP16|SERPING1|LYN|CPM|CTSH|ZEB1|USP8|KYNU|MSRB1|ANXA5|PFN1|HSPA5|ANG|RHOG|USP15|GZMK|GMFB|ADAM9|TIMP2|GNB4|GZMB|GZMA|CR1|DUSP5|CASP4,0.00398846716316108,0.00490888266235209,Evaluated,COMPLEMENT
