donor_id,cell_type,cells,group,proportion,donor_label
H1,Mono_NC,846,HC,0.0404436370589923,"H1
HC"
H1,NK,8603,HC,0.411272588201549,"H1
HC"
H1,CD4_NC,6914,HC,0.330528731236256,"H1
HC"
H1,Mono_C,2693,HC,0.128740797399369,"H1
HC"
H1,Platelet,372,HC,0.0177837269337413,"H1
HC"
H1,B_IN,443,HC,0.0211779328807725,"H1
HC"
H1,B_Mem,399,HC,0.0190744813079644,"H1
HC"
H1,CD8_ET,188,HC,0.00898747490199828,"H1
HC"
H1,CD8_S100B,91,HC,0.00435032029830768,"H1
HC"
H1,CD8_NC,311,HC,0.0148675781623482,"H1
HC"
H1,Plasma,25,HC,0.00119514293909552,"H1
HC"
H1,B_cell,33,HC,0.00157758867960608,"H1
HC"
H2,Mono_C,3283,HC,0.239006988934188,"H2
HC"
H2,Platelet,103,HC,0.00749854397204426,"H2
HC"
H2,CD4_NC,3894,HC,0.283488642981945,"H2
HC"
H2,B_IN,915,HC,0.0666132789749563,"H2
HC"
H2,Mono_NC,665,HC,0.0484129295282469,"H2
HC"
H2,NK,3453,HC,0.25138322655795,"H2
HC"
H2,CD8_NC,387,HC,0.0281741409435061,"H2
HC"
H2,Plasma,317,HC,0.0230780430984275,"H2
HC"
H2,CD8_ET,125,HC,0.00910017472335469,"H2
HC"
H2,B_Mem,370,HC,0.0269365171811299,"H2
HC"
H2,B_cell,14,HC,0.00101921956901573,"H2
HC"
H2,CD8_S100B,210,HC,0.0152882935352359,"H2
HC"
H3,CD4_NC,5474,HC,0.328650336215178,"H3
HC"
H3,Mono_C,3939,HC,0.236491354466859,"H3
HC"
H3,Platelet,31,HC,0.0018611911623439,"H3
HC"
H3,NK,5032,HC,0.302113352545629,"H3
HC"
H3,Mono_NC,526,HC,0.0315802113352546,"H3
HC"
H3,B_IN,574,HC,0.034462055715658,"H3
HC"
H3,CD8_NC,636,HC,0.0381844380403458,"H3
HC"
H3,CD8_S100B,121,HC,0.00726464937560038,"H3
HC"
H3,B_Mem,207,HC,0.0124279538904899,"H3
HC"
H3,CD8_ET,71,HC,0.00426272814601345,"H3
HC"
H3,Plasma,26,HC,0.00156099903938521,"H3
HC"
H3,B_cell,19,HC,0.00114073006724304,"H3
HC"
M0707_01,Mono_C,7390,MG,0.462597809076682,"M0707_01
MG"
M0707_01,Mono_NC,1367,MG,0.0855712050078247,"M0707_01
MG"
M0707_01,NK,4341,MG,0.271737089201878,"M0707_01
MG"
M0707_01,Platelet,431,MG,0.0269796557120501,"M0707_01
MG"
M0707_01,B_IN,461,MG,0.0288575899843505,"M0707_01
MG"
M0707_01,B_cell,117,MG,0.00732394366197183,"M0707_01
MG"
M0707_01,CD8_ET,239,MG,0.0149608763693271,"M0707_01
MG"
