donor_id,sample_id,cell_type,group,SESN3_logCPM,cell_label
H1,CD4_NC||H1,CD4_NC,HC,7.30805947262874,CD4 NC
H2,CD4_NC||H2,CD4_NC,HC,6.98937041463044,CD4 NC
H3,CD4_NC||H3,CD4_NC,HC,6.74408768877994,CD4 NC
M0707_01,CD4_NC||M0707_01,CD4_NC,MG,5.34224035546565,CD4 NC
M0709_02,CD4_NC||M0709_02,CD4_NC,MG,6.46728420222601,CD4 NC
M0709_03,CD4_NC||M0709_03,CD4_NC,MG,5.99783101191146,CD4 NC
M210715_01,CD4_NC||M210715_01,CD4_NC,MG,5.71264911551609,CD4 NC
H1,CD8_NC||H1,CD8_NC,HC,7.25375739891355,CD8 NC
H2,CD8_NC||H2,CD8_NC,HC,6.63977672925269,CD8 NC
H3,CD8_NC||H3,CD8_NC,HC,6.39163133118875,CD8 NC
M0707_01,CD8_NC||M0707_01,CD8_NC,MG,4.68172449109819,CD8 NC
M0709_02,CD8_NC||M0709_02,CD8_NC,MG,5.95371550618751,CD8 NC
M0709_03,CD8_NC||M0709_03,CD8_NC,MG,6.01510252065105,CD8 NC
M210715_01,CD8_NC||M210715_01,CD8_NC,MG,5.64016441883134,CD8 NC
