old_symbol,display_symbol,hgnc_id,label_status
ALDH7A1,ALDH7A1,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
BCAS4,BCAS4,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
CFD,CFD,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
CTSH,CTSH,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
FOS,FOS,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
GIMAP4,GIMAP4,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
HIST1H2BG,HIST1H2BG,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
HIST1H3D,HIST1H3D,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
IGHE,IGHE,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
IGLL3P,IGLL3P,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
IL12RB2,IL12RB2,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
KB-1980E6.3,KB-1980E6.3,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
KISS1R,KISS1R,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
MCM3,MCM3,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
MED16,MED16,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
MIF,MIF,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
ORMDL3,ORMDL3,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
PNMT,PNMT,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
R3HDM4,R3HDM4,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
RGS1,RGS1,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
RNASET2,RNASET2,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
RP1-30M3.5,RP1-30M3.5,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
SESN3,SESN3,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
SNHG15,SNHG15,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
SPATA21,SPATA21,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
TNFRSF14,TNFRSF14,,NO_CLIENT_MAPPING_FOR_THIS_SYMBOL
