cell_type,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,FDR_within_celltype,FDR_across_all_evaluable_tests,test_status,pathway_label,significance,cell_label,pathway_factor
CD4_NC,HALLMARK_ANDROGEN_RESPONSE,0.851351351351351,0.915606589365455,0.0453152441270267,0.212935755871247,0.80271636942786,77,SAT1|SGK1|DNAJB9|SORD|B2M|RAB4A|ZBTB10|DBI|TMEM50A|SRP19|PA2G4|HPGD|ELL2|CDC14B|SPCS3|INSIG1|VAPA|AKT1,0.915606589365455,0.886824324324324,Evaluated,Androgen Response,FALSE,CD4 NC,Androgen Response
CD4_NC,HALLMARK_APICAL_JUNCTION,0.193317422434368,0.25703794369645,0.154190966581424,-0.283040841842903,-1.15793804905164,111,MYH9|PLCG1|SHC1|PTEN|NF2|AKT2|AMIGO2|AMIGO1|TAOK2|SYMPK|MAPK14|LDLRAP1|CAP1|ZYX|PTPRC|ACTN1|MAPK13|ACTN4|VCL|AKT3|LIMA1|CDK8|CRAT|IRS1|CNN2|DSC1|IKBKG|MSN|THBS3|YWHAH,0.25703794369645,0.284487385936661,Evaluated,Apical Junction,FALSE,CD4 NC,Apical Junction
CD4_NC,HALLMARK_APICAL_SURFACE,0.764065335753176,0.848961484170196,0.0535669384770951,0.270238559683408,0.817100058501837,26,PLAUR|LYN|LYPD3|SULF2|DCBLD2|CD160,0.848961484170196,0.830505799731713,Evaluated,Apical Surface,FALSE,CD4 NC,Apical Surface
CD4_NC,HALLMARK_BILE_ACID_METABOLISM,0.895575221238938,0.932890855457227,0.0451344222209097,0.214285438329969,0.776340711347774,65,GSTK1|AQP9|SLC27A5|PRDX5|HSD17B11|APOA1|RXRA|SOD1|PHYH|HACL1|PEX16|SCP2|PEX7|SLC35B2|ALDH1A1,0.932890855457227,0.913852266570345,Evaluated,Bile Acid Metabolism,FALSE,CD4 NC,Bile Acid Metabolism
CD4_NC,HALLMARK_E2F_TARGETS,0.105,0.186595014181221,0.219250346703755,-0.273338700340459,-1.18821320181101,165,MCM3|MYC|NCAPD2|LBR|SUV39H1|PRKDC|NBN|SMC1A|RPA1|TUBB|ASF1A|PSMC3IP|TACC3|NUP153|CTCF|MCM6|LMNB1|CSE1L|SRSF1|POLD1|CBX5|IPO7|DCK|ILF3|PSIP1|GSPT1|CDC25B|EED|RPA2|RAD50|PPP1R8|MCM2|CCP110|NOLC1|DCLRE1B|RACGAP1|TBRG4|PDS5B|TIPIN|SLBP|SYNCRIP|BRCA2|PHF5A|RAD1|SSRP1|UNG|WDR90,0.186595014181221,0.194444444444444,Evaluated,E2f Targets,FALSE,CD4 NC,E2f Targets
CD4_NC,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.131067961165049,0.192747001713307,0.191892240384838,-0.292688258314958,-1.19714457927519,112,MYC|FKBP5|MYBBP1A|FCMR|MINDY1|AKAP1|FLNB|CISH|IL6ST|TIAM1|NCOR2|AQP3|AFF1|ITPK1|ABHD2|FASN|SH3BP5|ADD3|NRIP1|IGF1R|LRIG1|BCL2|SLC26A2|SLC2A1|CANT1|SLC16A1|AMFR|MED13L|RARA|FKBP4|ABLIM1|CELSR2|KDM4B|TJP3|RASGRP1|SLC7A5|MICB|MAST4,0.192747001713307,0.211399937362982,Evaluated,Estrogen Response Early,FALSE,CD4 NC,Estrogen Response Early
CD4_NC,HALLMARK_G2M_CHECKPOINT,0.00169130496256693,0.00768774982984967,0.45505986738723,-0.349874060192944,-1.50770683093112,153,MCM3|UPF1|MYC|G3BP1|NUP50|LBR|LIG3|RBM14|SUV39H1|SMC1A|SMAD3|SLC7A1|NUP98|TGFB1|NUMA1|SS18|TLE3|TACC3|PML|CTCF|MCM6|LMNB1|TOP1|MAPK14|SRSF1|CCNF|E2F2|SMC2|ILF3|CUL1|GSPT1|ABL1|DKC1|CDC25B|NOTCH2|RPA2|MCM2|NOLC1|HNRNPU|RACGAP1|PDS5B|CUL3|SYNCRIP|SLC7A5|PURA|BRCA2,0.00768774982984967,0.00939613868092737,Evaluated,G2m Checkpoint,TRUE,CD4 NC,G2m Checkpoint
CD4_NC,HALLMARK_HEDGEHOG_SIGNALING,0.108225108225108,0.186595014181221,0.199915231309662,-0.509313497994515,-1.39437911590718,16,MYH9|TLE3|PML|AMOT|PTCH1|LDB1|ETS2|CDK5R1|NF1,0.186595014181221,0.196772924045651,Evaluated,Hedgehog Signaling,FALSE,CD4 NC,Hedgehog Signaling
CD4_NC,HALLMARK_HEME_METABOLISM,0.340909090909091,0.426136363636364,0.115734447701689,-0.24654147686337,-1.05168718910817,141,ADD1|RBM5|FOXJ2|LRP10|MINPP1|ALDH6A1|MKRN1|TOP1|NEK7|XPO7|AQP3|E2F2|ALAD|CDR2|EPB41|CLCN3|DMTN|FBXO34|SLC2A1|GAPVD1|TRAK2|NFE2L1|BTRC|SLC10A3|CPOX|LPIN2|NCOA4|KDM7A|GCLC,0.426136363636364,0.452811283671818,Evaluated,Heme Metabolism,FALSE,CD4 NC,Heme Metabolism
CD4_NC,HALLMARK_IL2_STAT5_SIGNALING,0.122112211221122,0.190800330033003,0.161978948883402,0.292735471088814,1.20533611120994,148,NFKBIZ|GPX4|CD83|MXD1|ITGAE|GABARAPL1|NFIL3|MAP3K8|ICOS|HOPX|RHOB|SLC2A3|CST7|GADD45B|CD86|IFITM3|ARL4A|MAFF|GSTO1|PRNP|CTSZ|CD48|GLIPR2|IKZF2,0.190800330033003,0.203520352035204,Evaluated,Il2 Stat5 Signaling,FALSE,CD4 NC,Il2 Stat5 Signaling
CD4_NC,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.429951690821256,0.524331330269825,0.0982123351217438,-0.257052788248837,-1.01535117341141,89,OGFR|ADAR|IRF2|TMEM140|DDX60|UBA7|TRIM21|PARP14|TRAFD1|TRIM26|GBP2|TRIM25|TRIM14|TRIM5|HELZ2|PARP12,0.524331330269825,0.530804556569452,Evaluated,Interferon Alpha Response,FALSE,CD4 NC,Interferon Alpha Response
CD4_NC,HALLMARK_KRAS_SIGNALING_DN,0.195348837209302,0.25703794369645,0.151148761385484,-0.323598543076061,-1.17117329835519,55,KMT2D|CLSTN3|PDCD1|MFSD6|MAST3|IDUA|SLC5A5|PTPRJ,0.25703794369645,0.284487385936661,Evaluated,Kras Signaling Dn,FALSE,CD4 NC,Kras Signaling Dn
CD4_NC,HALLMARK_MITOTIC_SPINDLE,2.39057286964827e-10,3.98428811608045e-09,0.814035837847908,-0.5029673840471,-2.17397887197996,159,FLNA|MYH9|PXN|SPTAN1|PREX1|LRPPRC|SUN2|ARHGEF2|SPTBN1|ABR|MAP1S|SMC1A|MYO9B|CKAP5|LLGL1|FLNB|NUMA1|CEP250|GEMIN4|LMNB1|TAOK2|ARHGAP27|PLEKHG2|TIAM1|DOCK2|MID1IP1|NIN|EZR|ARFGEF1|ACTN4|CSNK1D|EPB41|AKAP13|VCL|NEDD9|ARHGEF11|PCNT|ABL1|ARHGAP5|TUBGCP2|NOTCH2|ARHGEF7|CLIP2|TUBGCP3|NET1|STAU1|PCM1|CEP72|KATNB1|RACGAP1|HDAC6|MAP3K11|CDK5RAP2|PKD2|BCL2L11|ARL8A|STK38L|PPP4R2|RAPGEF6|ARHGEF3|CEP131|BRCA2|LATS1|ALMS1|YWHAE,3.98428811608045e-09,4.78114573929654e-09,Evaluated,Mitotic Spindle,TRUE,CD4 NC,Mitotic Spindle
CD4_NC,HALLMARK_MTORC1_SIGNALING,0.070840197693575,0.131185551284398,0.216542836735348,0.294160802664534,1.23832823001427,177,CDKN1A|NFIL3|SERP1|DDIT3|SDF2L1|SLC2A3|IFI30|CXCR4|FKBP2|DDX39A|SEC11A|HPRT1|GLRX|SRD5A1|GLA|BTG2|SORD|CTSC|CD9|PNO1|PPIA|UFM1|CACYBP|PPP1R15A|ATP5MC1|NAMPT|PGK1|MTHFD2L|IFRD1|SKAP2|UBE2D3|PSMD13|ENO1|GAPDH|HSP90B1|ETF1|LDHA|HSPA5|TPI1|EBP|STARD4|PSMA4|DDIT4|CFP|BHLHE40|MLLT11|PSMD14|PITPNB|INSIG1|EEF1E1|HMBS,0.131185551284398,0.133660750365236,Evaluated,Mtorc1 Signaling,FALSE,CD4 NC,Mtorc1 Signaling
CD4_NC,HALLMARK_MYC_TARGETS_V2,0.465277777777778,0.553902116402116,0.0911073131586733,-0.27325133985988,-0.993637840183112,56,PPRC1|MYC|GRWD1|MYBBP1A|PPAN|HK2|FARSA,0.553902116402116,0.547735618115055,Evaluated,Myc Targets V2,FALSE,CD4 NC,Myc Targets V2
CD4_NC,HALLMARK_MYOGENESIS,0.571428571428571,0.664451827242525,0.0642140881844605,0.246908141729088,0.945222682783015,89,CDKN1A|CD36|HBEGF|IGFBP7|PDLIM7|GADD45B|PLXNB2|PRNP|CKB|MYOM2|GABARAPL2|MEF2C|IFRD1|CFD|COL6A2|GSN|OCEL1|TPM2|BAG1|DMPK|BHLHE40|ADCY9,0.664451827242525,0.642054574638844,Evaluated,Myogenesis,FALSE,CD4 NC,Myogenesis
CD4_NC,HALLMARK_NOTCH_SIGNALING,0.329621380846325,0.422591513905545,0.109684061970549,-0.382762676746846,-1.08318726386298,19,NOTCH1|ARRB1|DTX2|CUL1|DTX1|NOTCH2|FBXW11,0.422591513905545,0.451536138145651,Evaluated,Notch Signaling,FALSE,CD4 NC,Notch Signaling
CD4_NC,HALLMARK_PEROXISOME,0.962003454231434,0.962003454231434,0.0407403526717903,0.193314608852531,0.728985953543677,80,FIS1|GSTK1|TSPO|ERCC1|SLC25A4|PRDX5|HSD17B11|PEX2|SOD2|SOD1|ITGB1BP1,0.962003454231434,0.962003454231434,Evaluated,Peroxisome,FALSE,CD4 NC,Peroxisome
CD4_NC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.115942028985507,0.188842796111696,0.204294756516886,-0.311870229438331,-1.23187850079167,89,PLCG1|RPS6KA1|CALR|PTEN|CLTC|TNFRSF1A|EIF4E|TIAM1|RIPK1|MYD88|TRIB3|RPTOR|MAP3K7|PRKCB|MKNK2|PIKFYVE|LCK|SLC2A1|SLA|FASLG|PAK4|NOD1|DAPP1|MAPK1|MAP2K3|CAB39|ATF1|ACTR3|TSC2|RAF1|STAT2|GSK3B|PRKAR2A,0.188842796111696,0.201296348484238,Evaluated,Pi3k Akt Mtor Signaling,FALSE,CD4 NC,Pi3k Akt Mtor Signaling
CD4_NC,HALLMARK_PROTEIN_SECRETION,0.93398533007335,0.953046255176887,0.0580983576873206,-0.192816895374629,-0.758789773546999,88,COPB2|ARFGEF2|IGF2R|AP2B1|NAPA|ADAM10|CLTC|ARFGEF1|CLCN3|SEC24D|GBF1|ATP1A1|ARCN1,0.953046255176887,0.943419525326616,Evaluated,Protein Secretion,FALSE,CD4 NC,Protein Secretion
CD4_NC,HALLMARK_SPERMATOGENESIS,0.860670194003527,0.915606589365455,0.046788296531803,0.220571446051471,0.775545432959969,54,ARL4A|VDAC3|PARP2|PHKG2|TALDO1|CDKN3|PEBP1|RPL39L|RAD17|IFT88|MLF1|RFC4|PCSK1N|ACRBP,0.915606589365455,0.887288859797451,Evaluated,Spermatogenesis,FALSE,CD4 NC,Spermatogenesis
CD4_NC,HALLMARK_TGF_BETA_SIGNALING,0.135254988913526,0.193221412733608,0.179782316298324,-0.366914306485983,-1.27034131522654,43,ID3|SPTBN1|CTNNB1|SMAD3|PPM1A|TGFB1|HIPK2|NCOR2|ACVR1|HDAC1|TGFBR1|MAP3K7,0.193221412733608,0.214690458592898,Evaluated,Tgf Beta Signaling,FALSE,CD4 NC,Tgf Beta Signaling
CD4_NC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.594957983193277,0.676088617265088,0.0617054053637523,0.240314127978368,0.94227184521641,104,ATF4|SERP1|ATF3|SPCS1|SEC11A|DNAJB9|EIF4A1|EIF4EBP1|LSM1|VEGFA|TUBB2A|KIF5B|NHP2|LSM4|RPS14|CNOT2|DCP2|PARN|HSP90B1|YIF1A|HSPA5,0.676088617265088,0.661064425770308,Evaluated,Unfolded Protein Response,FALSE,CD4 NC,Unfolded Protein Response
CD4_NC,HALLMARK_UV_RESPONSE_DN,0.00666455056120448,0.020826720503764,0.407017918923954,-0.380604893262269,-1.48551465857868,84,MYC|ERBB2|DBP|SMAD3|SLC7A1|FYN|PTEN|TGFBR2|CDK13|MAPK14|NEK7|PRDM2|PIK3CD|ADD3|IGF1R|CELF2|AKT3|ZMIZ1|ATP2B4|NOTCH2|IRS1|RUNX1|SPOP|WDR37|SFMBT1|PHF3|ATRN|SIPA1L1|PTPRM|NFKB1|SCAF8|SYNE1|CITED2|NR1D2|INPP4B|DYRK1A|PRKCA|LDLR|PRKAR2B,0.020826720503764,0.0222151685373483,Evaluated,Uv Response Dn,TRUE,CD4 NC,Uv Response Dn
CD4_NC,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.000157245569674498,0.00131037974728748,0.518848077743792,-0.628149992560287,-1.94265426332669,28,MYC|MAML1|CTNNB1|LEF1|NOTCH1|DVL2|NCOR2|CCND2|TCF7|CUL1|AXIN1|PTCH1,0.00131037974728748,0.00142950517885907,Evaluated,Wnt Beta Catenin Signaling,TRUE,CD4 NC,Wnt Beta Catenin Signaling
CD8_NC,HALLMARK_ANDROGEN_RESPONSE,0.144758735440932,0.247440273037543,0.148261500475107,0.387731212472931,1.24493046892764,51,SAT1|SGK1|ZBTB10|SRP19|DBI|PA2G4|DNAJB9|B2M|ADRM1|AKT1|TMEM50A,0.247440273037543,0.222705746832203,Evaluated,Androgen Response,FALSE,CD8 NC,Androgen Response
CD8_NC,HALLMARK_APICAL_JUNCTION,0.00474838141097428,0.0197968797154594,0.407017918923954,-0.441851666132219,-1.61060107313798,63,MYH9|PTEN|SHC1|ZYX|MAPK14|ACTN1|PTPRC|GTF2F1|PLCG1|PIK3CB|YWHAH|VASP|LDLRAP1|MAPK13|AMIGO2|AKT2|CAP1|CNN2|ARHGEF6|VCL|DLG1|PECAM1|NF1|CDK8,0.0197968797154594,0.0182740428142702,Evaluated,Apical Junction,TRUE,CD8 NC,Apical Junction
CD8_NC,HALLMARK_APICAL_SURFACE,0.832962138084633,0.832962138084633,0.0590954798717342,-0.285332875283583,-0.74363230436074,15,CRYBG1|NCOA6|ADAM10|IL2RB,0.832962138084633,0.876802250615403,Evaluated,Apical Surface,FALSE,CD8 NC,Apical Surface
