table,status,file,rows
Table01_postMHC_discovery_counts,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table01_postMHC_discovery_counts.csv,3
Table02_MHC_before_after_UNRECONCILED,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table02_MHC_before_after_UNRECONCILED.csv,8
Table03_MR_coloc_evidence,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table03_MR_coloc_evidence.csv,7328
Table04_SESN3_donor_expression,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table04_SESN3_donor_expression.csv,14
Table05_SESN3_LODO,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table05_SESN3_LODO.csv,16
Table06_SESN3_exact_inference,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table06_SESN3_exact_inference.csv,2
Table07_pseudobulk_DE,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table07_pseudobulk_DE.csv,19051
Table08_Hallmark_50x2,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table08_Hallmark_50x2.csv,100
Table09_sample_QC,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table09_sample_QC.csv,7
Table10_per_donor_composition,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table10_per_donor_composition.csv,84
Table11_hierarchical_sensitivity,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table11_hierarchical_sensitivity.csv,3
Table12_PheWAS_descriptive_only,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table12_PheWAS_descriptive_only.csv,6
Table13_DICE_historical_only,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table13_DICE_historical_only.csv,2
Table14_instrument_alignment,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table14_instrument_alignment.csv,7328
Table15_cross_modality_evidence,COPIED_FROM_LOCKED_V2,07_analysis_tables/Table15_cross_modality_evidence.csv,7328
