cell_type,gene,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier
CD4 NC,MPV17L2,3873,0.000188,0.4,4.58e-05,0.0969,0.503,Tier 2 (Moderate)
CD4 NC,SPCS1,2500,3.43e-09,0.287,2.03e-09,0.17,0.543,Tier 2 (Moderate)
CD4 NC,RNASEH2C,2213,5.37e-27,0.328,9.59e-28,0.0579,0.614,Tier 2 (Moderate)
CD4 NC,CTSH,4185,7.52e-05,0.172,6.99e-05,0.159,0.669,Tier 2 (Moderate)
CD4 NC,C21orf91,4242,1.11e-05,0.262,3.99e-06,0.0935,0.644,Tier 2 (Moderate)
CD4 NC,R3HDM4,3299,4.02e-13,0.0337,6.68e-13,0.0552,0.911,Tier 1 (Strong)
CD4 NC,SCAND3,3694,1.01e-44,3.97e-24,4.74e-23,0.0176,0.982,Tier 1 (Strong)
CD4 NC,LST1,8464,3.68e-35,2.87e-26,1.28e-09,1,6.38e-11,Not colocalized
CD4 NC,C19orf83,3718,1.32e-27,0.387,1.46e-28,0.0422,0.57,Tier 2 (Moderate)
CD4 NC,HLA-B,8444,6.99e-101,2.87e-26,2.44e-75,1,4.7e-24,Not colocalized
CD4 NC,EVI2A,2798,1.68e-38,0.353,3.75e-39,0.0782,0.569,Tier 2 (Moderate)
CD4 NC,SAPCD1-AS1,10162,2.07e-66,2.92e-26,7.1e-41,1,1.18e-17,Not colocalized
CD4 NC,HCG15,6002,2.43e-56,1.62e-23,1.66e-34,0.109,0.891,Tier 1 (Strong)
CD4 NC,HIST1H3B,4298,4.05e-25,1.03e-15,3e-11,0.0756,0.924,Tier 1 (Strong)
CD4 NC,HIST1H4I,3235,4.39e-26,7.29e-18,9.35e-10,0.154,0.846,Tier 1 (Strong)
CD4 NC,ACAP1,3598,2.95e-06,0.158,6.12e-06,0.328,0.514,Tier 2 (Moderate)
CD4 NC,LINC00336,7121,1.89e-16,1.06e-10,1.78e-06,1,1.81e-06,Not colocalized
CD4 NC,MICA,8569,2.17e-29,2.87e-26,0.000756,0.999,0.000108,Not colocalized
CD4 NC,GSDMA,2568,2.67e-16,2.01e-05,1.32e-11,0.998,0.00179,Not colocalized
CD4 NC,HLA-C,8205,1.58e-45,2.87e-26,5.52e-20,1,2.81e-20,Not colocalized
CD4 NC,ZFP57,7169,2.58e-52,9.75e-28,2.64e-25,1,5.89e-23,Not colocalized
CD4 NC,SESN3,3272,5.15e-22,2.51e-08,2.16e-17,5.62e-05,1,Tier 1 (Strong)
CD4 NC,SKIV2L,10382,8.31e-30,2.98e-26,0.000279,1,1.81e-05,Not colocalized
CD4 NC,YWHAB,3592,3.47e-08,0.413,5.57e-09,0.0659,0.521,Tier 2 (Moderate)
CD4 NC,RP11-798G7.5,3807,2.2e-32,0.179,7e-32,0.568,0.253,Not colocalized
CD4 NC,HIST1H2BE,4077,1.01e-22,5.01e-16,8.06e-09,0.0391,0.961,Tier 1 (Strong)
CD4 NC,VWA7,10218,5.07e-39,2.93e-26,1.73e-13,1,1.18e-07,Not colocalized
CD4 NC,ARID5B,3536,8.74e-05,0.0446,0.00123,0.628,0.326,Not colocalized
CD4 NC,MED16,3266,1.36e-93,0.00401,2.25e-93,0.00568,0.99,Tier 1 (Strong)
CD4 NC,SPATA21,3697,5.62e-08,0.0685,4.07e-08,0.0487,0.883,Tier 1 (Strong)
CD4 NC,BTN3A2,4004,1.78e-76,7.65e-16,2.32e-61,1,3.95e-08,Not colocalized
CD4 NC,CDK5R1,3451,3.17e-20,0.401,3.84e-21,0.0481,0.551,Tier 2 (Moderate)
