gene,cell_type,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier,b,se,pval,fdr,or,or_lci,or_uci
ABHD16A,B IN,9496,1.4e-50,2.87e-26,4.87e-25,0.999,0.00087,Not colocalized,-1.26600496136844,0.117330092367251,3.83317710042551e-27,2.95330593439614e-24,0.28195579902693,0.224030753887992,0.354857854224162
ABHD16A,CD8 S100B,9496,5.27e-75,2.87e-26,1.83e-49,1,1.99e-22,Not colocalized,-0.309145278965337,0.0686262867367684,6.64465038401564e-06,0.000267121976813497,0.73407411675105,0.641688175667487,0.839761163314728
ABHD16A,Mono C,9496,1.6e-85,2.87e-26,5.58e-60,1,1.18e-24,Not colocalized,0.203219049266816,0.0505052271615812,5.72852656484459e-05,0.00192590021414554,1.22534084886668,1.10985436501821,1.35284433996589
ABHD16A,Mono NC,9496,6.01e-40,2.87e-26,2.09e-14,1,2.82e-10,Not colocalized,-0.543828227663701,0.0872785987858349,4.6362719375214e-10,2.39635334566583e-08,0.580521624132523,0.48924383129211,0.688829034789095
ACAP1,B IN,3598,3.16e-05,0.165,6.55e-05,0.342,0.493,Not colocalized,-0.502879551998776,0.152502601886264,0.000975446129016107,0.02414149735591,0.604786635348655,0.448527783546192,0.81548320464005
ACAP1,CD4 NC,3598,2.95e-06,0.158,6.12e-06,0.328,0.514,Tier 2 (Moderate),-0.472724690255975,0.143357877554126,0.000975446129016106,0.02414149735591,0.623301648575429,0.470619140833308,0.825518793028555
ACAP1,NK,3598,0.0018,0.158,0.00372,0.327,0.51,Tier 2 (Moderate),-0.55332258989751,0.167799892253367,0.000975446129016106,0.02414149735591,0.57503602389359,0.413867096884263,0.798967666830059
AGER,DC,10548,1.16e-44,6.24e-24,1.85e-21,1,3.2e-07,Not colocalized,-0.490861013692542,0.0689240629584026,1.06553237566627e-12,7.03992607853247e-11,0.612099141489079,0.534752007417093,0.70063385235586
AGER,Mono NC,10548,1.19e-40,2.28e-25,1.9e-17,0.0357,0.964,Tier 1 (Strong),1.58287894621115,0.143218629671846,2.13940747910805e-28,4.06380450656574e-25,4.86895310693835,3.67726927559568,6.44682305832072
AGPAT1,CD4 SOX4,10636,1.35e-38,6.3e-24,2.14e-15,1,1.79e-07,Not colocalized,-0.440612170358452,0.0680711810421589,9.61936221113382e-11,5.14703620283062e-09,0.643642281728915,0.563250008149495,0.735508887412654
AIF1,Plasma,8774,6.72e-30,2.86e-26,0.000234,0.997,0.003,Not colocalized,-0.355566114621433,0.116303674669489,0.00223399001103107,0.0470189919773243,0.700776611007066,0.557930254151194,0.880195785908157
ALDH7A1,CD4 NC,3867,0.00293,0.0628,0.000405,0.00777,0.926,Tier 1 (Strong),-1.17294437808044,0.317642821777273,0.000221927678363416,0.00641143155971573,0.309454447669029,0.166040373097845,0.576739580835034
