gene,ensembl_id,disease_id,disease,therapeutic_area,overall_score
ACAP1,ENSG00000072818,EFO_0004705,hypothyroidism,endocrine system disease,0.489109136073657
ACAP1,ENSG00000072818,EFO_1000627,thyroid disease,endocrine system disease,0.483867423624156
ACAP1,ENSG00000072818,MONDO_0005147,type 1 diabetes mellitus,endocrine system disease; gastrointestinal disease; immune system disease; nutritional or metabolic disease; phenotype,0.344150503778992
ACAP1,ENSG00000072818,EFO_1001055,myxedema,endocrine system disease,0.338703691463045
ACAP1,ENSG00000072818,EFO_0006812,autoimmune thyroid disease,immune system disease; endocrine system disease,0.306271312428574
ACAP1,ENSG00000072818,EFO_0009190,Thyrotoxicosis,immune system disease; endocrine system disease; phenotype,0.304352504609547
ACAP1,ENSG00000072818,EFO_0005140,autoimmune disease,immune system disease,0.297027877609554
ACAP1,ENSG00000072818,MONDO_0007915,systemic lupus erythematosus,immune system disease; urinary system disease; musculoskeletal or connective tissue disease; phenotype,0.294952155359716
ACAP1,ENSG00000072818,EFO_0003779,Hashimoto's thyroiditis,immune system disease; endocrine system disease,0.28659320634169
ACAP1,ENSG00000072818,EFO_0004283,goiter,endocrine system disease; phenotype,0.268120377230987
ACAP1,ENSG00000072818,EFO_0000616,neoplasm,cancer or benign tumor,0.0848128940094354
ACAP1,ENSG00000072818,MONDO_0004992,cancer,cancer or benign tumor,0.0769317425511675
ACAP1,ENSG00000072818,EFO_0000571,lung adenocarcinoma,respiratory or thoracic disease; cancer or benign tumor,0.075155706027266
ACAP1,ENSG00000072818,Orphanet_552,MODY,"endocrine system disease; genetic, familial or congenital disease; nutritional or metabolic disease; phenotype",0.0663765419013724
ACAP1,ENSG00000072818,MONDO_0010894,maturity-onset diabetes of the young type 3,"immune system disease; genetic, familial or congenital disease; nutritional or metabolic disease; endocrine system disease; phenotype",0.0548604336293971
ACAP1,ENSG00000072818,MONDO_0011614,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,"nutritional or metabolic disease; genetic, familial or congenital disease",0.0506102653005231
ACAP1,ENSG00000072818,EFO_0009650,hyperproinsulinemia,"genetic, familial or congenital disease",0.0477645004194509
ACAP1,ENSG00000072818,MONDO_0013240,maturity-onset diabetes of the young type 10,"immune system disease; genetic, familial or congenital disease; nutritional or metabolic disease; endocrine system disease; phenotype",0.0460644330879012
ACAP1,ENSG00000072818,MONDO_0012396,exercise-induced hyperinsulinism,"genetic, familial or congenital disease; endocrine system disease; nutritional or metabolic disease",0.0439430447220111
ACAP1,ENSG00000072818,MONDO_0009414,glycogen storage disorder due to hepatic glycogen synthase deficiency,"nutritional or metabolic disease; genetic, familial or congenital disease",0.0437878211830435
ACAP1,ENSG00000072818,Orphanet_2089,Glycogen storage disease due to hepatic glycogen synthase deficiency,"nutritional or metabolic disease; genetic, familial or congenital disease",0.0437878211830435
ACAP1,ENSG00000072818,EFO_0000668,preeclampsia,"genetic, familial or congenital disease; pregnancy or perinatal disease; cardiovascular disease; phenotype",0.0375003430355279
ACAP1,ENSG00000072818,MONDO_0012381,hyperinsulinism due to INSR deficiency,"endocrine system disease; nutritional or metabolic disease; genetic, familial or congenital disease",0.0354796660497314
ACAP1,ENSG00000072818,MONDO_0009864,"phosphoenolpyruvate carboxykinase deficiency, mitochondrial","nutritional or metabolic disease; genetic, familial or congenital disease",0.0331439213681241
ACAP1,ENSG00000072818,EFO_0000756,melanoma,cancer or benign tumor,0.0297511783021185
