id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD4 NC|UFSP2,UFSP2,CD4 NC,Wald ratio,1,0.0590229121508548,0.126219712675479,0.640056075935463,0.924246363621449,1.06079954566094,0.828310061160153,1.35854401490467
CD4 NC|QDPR,QDPR,CD4 NC,Wald ratio,1,-0.0470703713280006,0.123145764862072,0.702288569324704,0.941423526769425,0.954020259555498,0.749434714634389,1.21445489229353
CD4 NC|ANKDD1B,ANKDD1B,CD4 NC,Wald ratio,1,0,0.110630951894436,1,1,1,0.805061452705128,1.24214120132053
CD4 NC|RGS14,RGS14,CD4 NC,Wald ratio,1,0.107590546669589,0.100786943234762,0.285743942865277,0.791425478277442,1.11359168820032,0.913975181085077,1.3568053856305
CD4 NC|CCDC127,CCDC127,CD4 NC,Wald ratio,1,-0.0440934093749019,0.130725750082419,0.735892986110604,0.950636731410435,0.9568645731768,0.740584248321066,1.23630743359246
CD4 NC|ERP27,ERP27,CD4 NC,Wald ratio,1,-0.0725286964777035,0.136789975201942,0.595959832481057,0.916914996701886,0.930039057432262,0.711317035390274,1.21601565169167
CD4 NC|TERT,TERT,CD4 NC,Wald ratio,1,-0.190072405922937,0.169861795115646,0.26314753011096,0.785053284210781,0.826899259371701,0.592738755453637,1.15356449845458
CD4 NC|CTNNA1,CTNNA1,CD4 NC,Wald ratio,1,0.148883192024828,0.123498024466648,0.227990583741469,0.759435534970486,1.16053742126524,0.911035935825609,1.47836880324202
CD4 NC|H2AFY,H2AFY,CD4 NC,Wald ratio,1,0.222158336324332,0.273959327169191,0.41741320987634,0.858063733950054,1.24876908771883,0.729933426971844,2.13639241171823
CD4 NC|CAST,CAST,CD4 NC,Wald ratio,1,0.178053799965439,0.0898426498788644,0.0474970977558429,0.460885886700012,1.19488960452499,1.00196413258924,1.42496235200788
CD4 NC|GIMAP4,GIMAP4,CD4 NC,Wald ratio,1,-0.0599748570368555,0.0998407645135876,0.548036417549787,0.900649111582967,0.941788212632887,0.774403087954254,1.14535317750004
CD4 NC|HMBOX1,HMBOX1,CD4 NC,Wald ratio,1,0.0177132829427757,0.0391178985145127,0.650679904688406,0.926988252877534,1.01787109354332,0.942746553970339,1.0989820739283
CD4 NC|ZC3H3,ZC3H3,CD4 NC,Wald ratio,1,0.0984679862299071,0.105143794164766,0.349011784412456,0.831873959315782,1.10347907730343,0.897974281959798,1.35601441879708
CD4 NC|SYS1,SYS1,CD4 NC,Wald ratio,1,0.00723624113286038,0.107600730098385,0.946382000031218,0.992636178008893,1.00726248599224,0.815738704917151,1.24375331165673
CD4 NC|MGMT,MGMT,CD4 NC,Wald ratio,1,0.0362620624994113,0.0595027607149912,0.542247308866297,0.899562238595223,1.03692755071327,0.922780994373546,1.16519385637994
CD4 NC|FBXO25,FBXO25,CD4 NC,Wald ratio,1,-0.173751700852458,0.155344146035228,0.263355502768154,0.785053284210781,0.840505568567134,0.619881947034669,1.13965185495691
CD4 NC|CTD-2336O2.1,CTD-2336O2.1,CD4 NC,Wald ratio,1,-0.067359719259913,0.0433454298202281,0.120179346635408,0.629739776369537,0.934858854109992,0.858716229236566,1.01775306830387
CD4 NC|RP11-513M16.7,RP11-513M16.7,CD4 NC,Wald ratio,1,0.0777405141826824,0.18260122429188,0.67029783464662,0.92929634054634,1.08084215906779,0.75566442363469,1.54595047256461
CD4 NC|AK3,AK3,CD4 NC,Wald ratio,1,0.0684777856393402,0.284478507118519,0.809777260879995,0.968906096845656,1.0708768358425,0.613177951975762,1.87021923056583
CD4 NC|CHURC1,CHURC1,CD4 NC,Wald ratio,1,0.0517812243243605,0.0568900521691093,0.362717981757478,0.840377383889182,1.05314531473051,0.942025176679357,1.17737304840244
CD4 NC|CFL2,CFL2,CD4 NC,Wald ratio,1,-0.12771405527571,0.0881409325380262,0.147344413677794,0.664777635252925,0.880105004550324,0.740469908338337,1.04607197444761
CD4 NC|RMI2,RMI2,CD4 NC,Wald ratio,1,0.211250820880804,0.108563097184475,0.0516690880291833,0.478596439429981,1.23522213571411,0.998468324613141,1.52811429961916
CD4 NC|PAX8,PAX8,CD4 NC,Wald ratio,1,0.0334156236836482,0.062557044914647,0.593229153688862,0.915942920082905,1.03398019660536,0.914666112795384,1.16885826643852
CD4 NC|ADCY3,ADCY3,CD4 NC,Wald ratio,1,-0.259354533543022,0.110715235567703,0.0191531358220421,0.276449896306975,0.7715494343938,0.621042106340842,0.958531673835792
CD4 NC|PTPN4,PTPN4,CD4 NC,Wald ratio,1,-0.0149147312670677,0.0568903850860772,0.793193375877921,0.965275148104301,0.985195942431306,0.881244746725677,1.10140916991503
CD4 NC|MYO7B,MYO7B,CD4 NC,Wald ratio,1,0,0.0447641020793078,1,1,1,0.916001167197772,1.09170166568586
CD4 NC|COX7A2L,COX7A2L,CD4 NC,Wald ratio,1,0.041371545300745,0.0564963263672877,0.463993196802043,0.876192989208186,1.04223927271998,0.932989572622295,1.16428171704727
CD4 NC|SESTD1,SESTD1,CD4 NC,Wald ratio,1,-0.0246637728945438,0.0859696095172877,0.774196978545768,0.960394727566068,0.975637892791898,0.824346599090519,1.15469548719142
CD4 NC|SP140,SP140,CD4 NC,Wald ratio,1,-0.583904119252338,0.240064886405555,0.015004259135839,0.228461645118446,0.557716718052206,0.348390501838435,0.892814057655254
CD4 NC|RP5-882C2.2,RP5-882C2.2,CD4 NC,Wald ratio,1,0.241435073364646,0.112831210476973,0.0323717578550154,0.385518207182456,1.27307479577112,1.02049305813565,1.58817291573604
CD4 NC|IKZF1,IKZF1,CD4 NC,Wald ratio,1,0.029535712885649,0.142592328800153,0.83590524555135,0.974574546355263,1.02997621823798,0.778843422364491,1.36208508626185
CD4 NC|EPHB6,EPHB6,CD4 NC,Wald ratio,1,0.0420995766422511,0.0841962607313241,0.61706298233875,0.920942403918084,1.04299833185177,0.884329901349652,1.23013540375069
CD4 NC|PTPLA,PTPLA,CD4 NC,Wald ratio,1,-0.11713726694273,0.127661542682628,0.358848685420447,0.837371393994929,0.889463090904142,0.692564509601073,1.14234064713547
CD4 NC|TRIM16,TRIM16,CD4 NC,Wald ratio,1,0.104674215894585,0.134140741252333,0.43519590749867,0.861525928222045,1.11034881742953,0.853643485228343,1.44424987445124
CD4 NC|PPIA,PPIA,CD4 NC,Wald ratio,1,0.127395350077779,0.100981456440584,0.207102936213031,0.737452577567379,1.13586599373327,0.93190136210775,1.38447222869333
CD4 NC|NSUN5,NSUN5,CD4 NC,Wald ratio,1,-0.154994148526855,0.113472236531178,0.171963656252013,0.684810320595627,0.856420188788687,0.685641945996712,1.06973551435601
CD4 NC|SAMD9L,SAMD9L,CD4 NC,Wald ratio,1,-0.363091550611605,0.322795442577421,0.260659040201969,0.783119893117476,0.695522755050629,0.369438638731596,1.3094242238822
CD4 NC|THAP5,THAP5,CD4 NC,Wald ratio,1,0.155794118776507,0.118239519541175,0.187632691305991,0.70927024305618,1.16858558849099,0.926857599536458,1.47335715681869
CD4 NC|FIS1,FIS1,CD4 NC,Wald ratio,1,-0.00482819390577787,0.12135039811052,0.968262772228594,0.99558515902905,0.995183443086334,0.784526463676261,1.26240494266088
CD4 NC|TPK1,TPK1,CD4 NC,Wald ratio,1,-0.135621289005448,0.129001661028556,0.293114268455819,0.799242497842898,0.873173250190485,0.678097263648874,1.12436897436444
CD4 NC|ZYX,ZYX,CD4 NC,Wald ratio,1,-0.331924873026796,0.121757626298557,0.00640853333103983,0.116209263534813,0.717541227530144,0.565203282464938,0.910938469713162
CD4 NC|LYRM9,LYRM9,CD4 NC,Wald ratio,1,-0.0457238835041749,0.100377619666663,0.648736112551073,0.926988252877534,0.955305701440384,0.784691981817758,1.16301555814349
CD4 NC|COQ6,COQ6,CD4 NC,Wald ratio,1,-0.0906562534336673,0.143496333202393,0.527539115109195,0.896899126560676,0.913331611550433,0.689416930761282,1.20997120238428
CD4 NC|ARRDC5,ARRDC5,CD4 NC,Wald ratio,1,-0.172104672142207,0.0955155465909342,0.0715690341492222,0.537005986811172,0.84189104601706,0.698154297917829,1.01522046842304
CD4 NC|HDDC2,HDDC2,CD4 NC,Wald ratio,1,-0.122237450464919,0.0849979823013219,0.150399501003792,0.664777635252925,0.884938214562567,0.749136929482318,1.04535714737003
CD4 NC|MPV17L2,MPV17L2,CD4 NC,Wald ratio,1,-0.353658927250984,0.113615341386486,0.00185337626031032,0.0397795277566041,0.702114398609392,0.561948541544603,0.87724158404191
CD4 NC|KCNN1,KCNN1,CD4 NC,Wald ratio,1,0.030822163072933,0.0925004000212098,0.738974915126311,0.951810714549875,1.0313020839841,0.860296122108585,1.23629987523726
CD4 NC|ZNF846,ZNF846,CD4 NC,Wald ratio,1,-0.0218247574661142,0.175301553558991,0.900920691842352,0.980923727190791,0.978411679370479,0.693908062217591,1.37956231733244
CD4 NC|CTB-179K24.3,CTB-179K24.3,CD4 NC,Wald ratio,1,-0.0982830449265167,0.0756338304225843,0.193786531020469,0.720623198621445,0.906392317695985,0.781511547971511,1.05122827130412
CD4 NC|AKAP8,AKAP8,CD4 NC,Wald ratio,1,0.0829480644265372,0.114358732968196,0.468248293402134,0.876192989208186,1.08648537984166,0.86831992747437,1.35946491985182
CD4 NC|SSBP4,SSBP4,CD4 NC,Wald ratio,1,0.118034331394786,0.09614159900939,0.219554566591435,0.750078955468401,1.1252827432303,0.932017952014781,1.35862324269032
CD4 NC|BBC3,BBC3,CD4 NC,Wald ratio,1,-0.25945148698185,0.153971940211702,0.0919775856249374,0.58228605514154,0.771474633649064,0.570503206152387,1.04324235858016
CD4 NC|RP5-903G2.2,RP5-903G2.2,CD4 NC,Wald ratio,1,0.0808353778727699,0.0767821015095714,0.292437552279336,0.799242497842898,1.08419239981572,0.932713181161876,1.26027291514621
CD4 NC|XRCC6BP1,XRCC6BP1,CD4 NC,Wald ratio,1,-0.0399063666759234,0.0496190741788906,0.421249974620934,0.858063733950054,0.960879405273096,0.871830938212578,1.05902324752423
CD4 NC|PYGB,PYGB,CD4 NC,Wald ratio,1,0.122454698603301,0.105786789719807,0.247043091513435,0.77117231278516,1.13026791619897,0.91861570621278,1.39068552143049
CD4 NC|FAM26F,FAM26F,CD4 NC,Wald ratio,1,-0.0246754924827077,0.0884527249986056,0.780269272392848,0.961953056876026,0.975626458784599,0.820334714594713,1.1603153812049
CD4 NC|TMEM14C,TMEM14C,CD4 NC,Wald ratio,1,-0.231395143581564,0.131717688112608,0.0789603079753747,0.562814022096645,0.793425886938269,0.612894898369223,1.02713310183982
CD4 NC|GPX7,GPX7,CD4 NC,Wald ratio,1,-0.174891257903277,0.117245199936156,0.135785430214485,0.653731211151793,0.839548310049158,0.667182371580878,1.05644482667653
CD4 NC|ATF4,ATF4,CD4 NC,Wald ratio,1,0.018037587527021,0.123906498112864,0.884257547934365,0.980311388381588,1.01820124733743,0.798660644455755,1.29809048095262
CD4 NC|MOSPD3,MOSPD3,CD4 NC,Wald ratio,1,0.122867468731992,0.145937251524155,0.399832819247645,0.852525340419777,1.1307345533325,0.849447157319364,1.50516794256498
CD4 NC|KLHL18,KLHL18,CD4 NC,Wald ratio,1,0.0122799072447552,0.105956069008813,0.907734796295166,0.983291759855586,1.0123556148826,0.822510534918967,1.24601916628982
