id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD4 NC|MPV17L2,MPV17L2,CD4 NC,Wald ratio,1,-0.353658927250984,0.113615341386486,0.00185337626031032,0.0397795277566041,0.702114398609392,0.561948541544603,0.87724158404191
CD4 NC|SPCS1,SPCS1,CD4 NC,Wald ratio,1,0.295381053180065,0.0904566295088975,0.00109292634724594,0.0263658489995078,1.34363825878087,1.12534095330288,1.60428158698121
CD4 NC|RNASEH2C,RNASEH2C,CD4 NC,Wald ratio,1,0.190216518814673,0.0604273434834205,0.00164473224891404,0.0361175596163262,1.20951145129388,1.07441779152399,1.3615913309998
CD4 NC|CTSH,CTSH,CD4 NC,Wald ratio,1,-0.651505011865893,0.199517464236116,0.00109308271056133,0.0263658489995078,0.521260682608649,0.352551262500876,0.770704087984821
CD4 NC|C21orf91,C21orf91,CD4 NC,Wald ratio,1,-0.383718992473601,0.121938715796011,0.00165057451266369,0.0361413981187859,0.681322857132421,0.536483820196714,0.86526530377165
CD4 NC|R3HDM4,R3HDM4,CD4 NC,Wald ratio,1,0.350429722585143,0.0877006213631213,6.44898707296588e-05,0.00213971195547575,1.41967748501107,1.19546652263977,1.68593944144657
CD4 NC|SCAND3,SCAND3,CD4 NC,Wald ratio,1,-1.11020986622577,0.110990762823882,1.48262989346581e-23,5.12046451388782e-21,0.329489805036873,0.265072538209463,0.409561595314897
CD4 NC|LST1,LST1,CD4 NC,Wald ratio,1,-0.597220560828227,0.112704549673094,1.16443431461397e-07,5.39473897709572e-06,0.550339146481043,0.441259792570086,0.686382900162781
CD4 NC|C19orf83,C19orf83,CD4 NC,Wald ratio,1,-0.18608560237868,0.0590903913000003,0.00163735724117915,0.0361175596163262,0.830202524629186,0.739409954722284,0.932143565959355
CD4 NC|HLA-B,HLA-B,CD4 NC,Wald ratio,1,-0.178150460776768,0.0403698126474122,1.0196576331094e-05,0.00037426853605629,0.836816505954682,0.77315533977505,0.905719495957882
CD4 NC|EVI2A,EVI2A,CD4 NC,Wald ratio,1,-0.165260046809755,0.0534240569730692,0.00197901333267886,0.04209594448855,0.847673240701799,0.763401481145565,0.941247745450572
CD4 NC|SAPCD1-AS1,SAPCD1-AS1,CD4 NC,Wald ratio,1,-0.527784712159546,0.0750359343534849,2.0104161246318e-12,1.27292847624604e-10,0.589910344467119,0.509230180570649,0.68337311453015
CD4 NC|HCG15,HCG15,CD4 NC,Wald ratio,1,-0.939336815069642,0.0913408859121304,8.33228674921682e-25,3.16543573602747e-22,0.390886979773147,0.326813714299058,0.467522090631594
CD4 NC|HIST1H3B,HIST1H3B,CD4 NC,Wald ratio,1,-0.809810292350427,0.130716835831155,5.82298688254111e-10,2.98939556307752e-08,0.444942467206581,0.344378033438986,0.574873481757524
CD4 NC|HIST1H4I,HIST1H4I,CD4 NC,Wald ratio,1,1.82959004903353,0.196844858394436,1.47790178515063e-20,2.61141808455221e-18,6.2313315944255,4.23665535498168,9.1651291375466
CD4 NC|ACAP1,ACAP1,CD4 NC,Wald ratio,1,-0.472724690255975,0.143357877554126,0.000975446129016106,0.02414149735591,0.623301648575429,0.470619140833308,0.825518793028555
CD4 NC|LINC00336,LINC00336,CD4 NC,Wald ratio,1,0.441435487431196,0.129941074171018,0.000680798213790225,0.0180233617713524,1.5549377107466,1.20532709959951,2.00595447086958
CD4 NC|MICA,MICA,CD4 NC,Wald ratio,1,-0.536219424291375,0.166611576095854,0.00128916739174554,0.0302317711187734,0.584955546052566,0.421988121503084,0.810859295372737
CD4 NC|GSDMA,GSDMA,CD4 NC,Wald ratio,1,-0.355534811200638,0.0794628012087269,7.66873317412072e-06,0.000303474138838381,0.700798548055554,0.599726295765081,0.818904571009754
CD4 NC|HLA-C,HLA-C,CD4 NC,Wald ratio,1,-0.303903425554426,0.0797073277227072,0.000137433907446898,0.00424480824707939,0.737932128395666,0.63120171785072,0.862709670646591
CD4 NC|ZFP57,ZFP57,CD4 NC,Wald ratio,1,0.364058043635284,0.0648126406309365,1.94207075855171e-08,9.33914786295943e-07,1.43915774568109,1.26747314388035,1.63409775343485
CD4 NC|SESN3,SESN3,CD4 NC,Wald ratio,1,-0.60246842164822,0.0903215632212928,2.55348491576576e-11,1.40589698478175e-09,0.547458608179406,0.458635874469225,0.653483393588836
CD4 NC|SKIV2L,SKIV2L,CD4 NC,Wald ratio,1,-0.663506317369586,0.171848064416562,0.000112921373360829,0.00365096423317269,0.515042263122692,0.367758603933511,0.721311561348279
CD4 NC|YWHAB,YWHAB,CD4 NC,Wald ratio,1,-0.308523403717993,0.100657702270995,0.00217615440852908,0.0460568835543286,0.734530761247211,0.603015426195058,0.894729082840881
CD4 NC|RP11-798G7.5,RP11-798G7.5,CD4 NC,Wald ratio,1,-0.254009844696007,0.0772740000304119,0.00101213348964297,0.0248873471013181,0.775684165634079,0.666665482236086,0.902530490700226
CD4 NC|HIST1H2BE,HIST1H2BE,CD4 NC,Wald ratio,1,-1.59825261014255,0.177089661502378,1.79524787144741e-19,2.43576666558172e-17,0.202249618334585,0.142937422886945,0.286173538673905
CD4 NC|VWA7,VWA7,CD4 NC,Wald ratio,1,0.8410526709648,0.0969769151266541,4.21955258058479e-18,4.58002292961189e-16,2.31880663289366,1.91741498579699,2.80422560613122
CD4 NC|ARID5B,ARID5B,CD4 NC,Wald ratio,1,0.524532957890683,0.151116527042555,0.000518428266141313,0.0141183439646656,1.68966951725262,1.25651820290382,2.27213825548633
CD4 NC|MED16,MED16,CD4 NC,Wald ratio,1,0.19195348157301,0.0427514813747687,7.12284124788977e-06,0.000284838672639297,1.21161415326941,1.11422665139654,1.31751368050905
CD4 NC|SPATA21,SPATA21,CD4 NC,Wald ratio,1,-0.397828871911829,0.106669534018099,0.000191825528357261,0.00564918745914137,0.671776977736013,0.545037238795886,0.827988026677083
