gene,cell_type,tier,PP.H4,b,se,pval,fdr,or,or_lci,or_uci,n_drugs,approved_drugs,drug_mechanisms,indications,direction
HCG23,B IN,Tier 1 (Strong),0.984,-2.61722229336485,0.231444380497041,1.19498847794118e-29,9.07952245539705e-26,0.0730053689436547,0.046381561548855,0.114911695868306,0,,,,Protective (↑ expression → ↓ MG risk)
ZSCAN12,Mono C,Tier 1 (Strong),0.999,1.61205545215882,0.145198042904811,1.22037973465115e-28,4.06380450656574e-25,5.01310484236401,3.77147921062092,6.66349163207928,0,,,,Risk (↑ expression → ↑ MG risk)
AGER,Mono NC,Tier 1 (Strong),0.964,1.58287894621115,0.143218629671846,2.13940747910805e-28,4.06380450656574e-25,4.86895310693835,3.67726927559568,6.44682305832072,1,Azeliragon (Phase 3),RAGE antagonist,Alzheimer disease; COVID-19; Diabetic nephropathy; Glioblastoma,Risk (↑ expression → ↑ MG risk)
DXO,Plasma,Tier 1 (Strong),0.889,2.24790593286338,0.205041317806652,5.74414020429183e-28,8.52709509543469e-25,9.46788866844643,6.33458910108524,14.1510229641792,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H3J,CD8 ET,Tier 1 (Strong),0.919,-2.7390418164477,0.257714692087645,2.20337217304336e-26,1.52192925188941e-23,0.0646322467885225,0.0390012097953709,0.107107634528514,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2AM,B IN,Tier 1 (Strong),0.919,1.5659814323471,0.148623942934958,5.86187952740162e-26,2.96923737661317e-23,4.78737111189557,3.57755105753604,6.40631588324476,0,,,,Risk (↑ expression → ↑ MG risk)
ZSCAN16,NK R,Tier 1 (Strong),0.895,-2.50017022791864,0.237285800205772,5.86187952740162e-26,2.96923737661317e-23,0.0820710266546749,0.0515475603094995,0.130668714013048,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BL,CD8 ET,Tier 1 (Strong),0.934,2.13794891081832,0.205782285624652,2.77169295698182e-25,1.27374414259935e-22,8.48202239052409,5.66674926236868,12.6959391535314,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H2BL,NK,Tier 1 (Strong),0.957,-1.57922996505213,0.152123102123275,3.01755653682393e-25,1.27374414259935e-22,0.20613376731143,0.152988695611153,0.277740324906106,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BN,Plasma,Tier 1 (Strong),0.921,-1.62040687914272,0.156089566821859,3.01755653682393e-25,1.27374414259935e-22,0.197818194609492,0.145680060231294,0.268616295575587,0,,,,Protective (↑ expression → ↓ MG risk)
PGBD1,CD8 ET,Tier 1 (Strong),0.831,2.04356581807832,0.197936451485923,5.46861768112505e-25,2.18687142848359e-22,7.71808146363353,5.23627502874208,11.3761750771891,0,,,,Risk (↑ expression → ↑ MG risk)
HCG15,CD4 NC,Tier 1 (Strong),0.891,-0.939336815069642,0.0913408859121304,8.33228674921682e-25,3.16543573602747e-22,0.390886979773147,0.326813714299058,0.467522090631594,0,,,,Protective (↑ expression → ↓ MG risk)
PGBD1,B IN,Tier 1 (Strong),0.876,-1.50400165064613,0.146626788302232,1.09680146173115e-24,3.96833214582538e-22,0.222239055333101,0.166728230285697,0.296231763695427,0,,,,Protective (↑ expression → ↓ MG risk)
SCAND3,CD4 NC,Tier 1 (Strong),0.982,-1.11020986622577,0.110990762823882,1.48262989346581e-23,5.12046451388782e-21,0.329489805036873,0.265072538209463,0.409561595314897,0,,,,Protective (↑ expression → ↓ MG risk)
ZNF322,DC,Tier 1 (Strong),0.992,-1.65629323856145,0.166085849357979,2.01076348842144e-23,6.64251347175047e-21,0.190845087818857,0.137817972648255,0.264275020483321,0,,,,Protective (↑ expression → ↓ MG risk)
LINC00240,CD8 ET,Tier 1 (Strong),0.947,-1.84928027689654,0.192623656454867,7.9570113793852e-22,2.01524574868563e-19,0.15735037426925,0.107870629644067,0.229526242355021,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BJ,B IN,Tier 1 (Strong),0.942,-1.48164753252405,0.1550140227353,1.19878510924237e-21,2.93818363226565e-19,0.227262956664611,0.167717373457328,0.307949322167757,0,,,,Protective (↑ expression → ↓ MG risk)
RP11-457M11.5,CD8 S100B,Tier 1 (Strong),0.877,-1.43269583422371,0.150972911343572,2.31579464632229e-21,5.10680053278975e-19,0.238664653871681,0.177532295443356,0.320847634315996,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2AG,CD8 S100B,Tier 1 (Strong),0.906,-2.02612200182822,0.213609227105851,2.41964752803932e-21,5.10680053278975e-19,0.131845828906134,0.0867438212951018,0.200398395417786,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4I,CD8 ET,Tier 1 (Strong),0.865,-0.929976885746951,0.0980452527594409,2.41964752803932e-21,5.10680053278975e-19,0.394562830291304,0.32558048532499,0.478160805283175,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4I,B IN,Tier 1 (Strong),0.868,-1.46839857198139,0.154809771455645,2.41964752803936e-21,5.10680053278975e-19,0.230293989288536,0.170022291503936,0.311931576932077,0,,,,Protective (↑ expression → ↓ MG risk)
BTN2A1,CD4 SOX4,Tier 1 (Strong),0.956,-2.24721908825965,0.239636011650879,6.74689557527611e-21,1.3854841238094e-18,0.105692738431799,0.066078908279799,0.16905477478398,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2AH,CD8 ET,Tier 1 (Strong),0.898,2.15200952085673,0.229560412635049,6.9517519971098e-21,1.3899845177379e-18,8.60212719437195,5.48529629873386,13.4899900093334,0,,,,Risk (↑ expression → ↑ MG risk)
ZNF391,CD4 ET,Tier 1 (Strong),0.855,-1.03097799460257,0.110103649164312,7.6989204922344e-21,1.49990763846146e-18,0.356657980366823,0.287428499529243,0.442561942074919,0,,,,Protective (↑ expression → ↓ MG risk)
HLA-DOA,CD8 S100B,Tier 1 (Strong),0.99,-1.47727586919019,0.158216082210737,9.9029493921743e-21,1.88106523704351e-18,0.228258648628674,0.167398280911858,0.311245792907649,0,,,,Protective (↑ expression → ↓ MG risk)
HCG11,DC,Tier 1 (Strong),0.973,1.65503267222465,0.17788804772757,1.3552925870952e-20,2.45178882779746e-18,5.233250901334,3.69275243994858,7.41639615481359,0,,,,Risk (↑ expression → ↑ MG risk)
HMGN4,NK R,Tier 1 (Strong),0.85,-1.32813365070002,0.14275192641771,1.3552925870952e-20,2.45178882779746e-18,0.264971329159498,0.200302325462774,0.350519172028283,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4I,CD4 NC,Tier 1 (Strong),0.846,1.82959004903353,0.196844858394436,1.47790178515063e-20,2.61141808455221e-18,6.2313315944255,4.23665535498168,9.1651291375466,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H3H,CD8 ET,Tier 1 (Strong),0.945,-2.22530093981322,0.239539534271165,1.54417480713398e-20,2.66650913286454e-18,0.108034901739109,0.0675559978680513,0.172768375305115,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4B,CD4 ET,Tier 1 (Strong),0.987,-1.67717706583466,0.181478278807895,2.42495866436914e-20,4.09440798486149e-18,0.186900840806297,0.130958540278357,0.266740330335475,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2AB,B IN,Tier 1 (Strong),0.982,-1.61742139186803,0.175536493773113,3.13724113045331e-20,4.9659912727468e-18,0.198409660780247,0.140651100503766,0.279886850155705,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4A,Mono C,Tier 1 (Strong),0.99,-1.19588117563413,0.129787320481546,3.13724113045336e-20,4.9659912727468e-18,0.302437336319197,0.234508293782698,0.390043102205196,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BF,CD8 S100B,Tier 1 (Strong),0.96,-1.63800302303571,0.181070511198298,1.48008011236593e-19,2.12182050825594e-17,0.19436780301263,0.136299415995997,0.277175383121715,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BH,CD4 ET,Tier 1 (Strong),0.974,1.36893297977337,0.151326579351722,1.48008011236593e-19,2.12182050825594e-17,3.93115383614461,2.92218868230669,5.28849166277504,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H4F,CD8 ET,Tier 1 (Strong),0.961,1.23928475061983,0.136994816346011,1.48008011236595e-19,2.12182050825594e-17,3.45314272307747,2.63998942265903,4.51675850046878,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H3I,CD8 NC,Tier 1 (Strong),0.91,-1.49513275286498,0.165342083954541,1.52900600706612e-19,2.15136808179414e-17,0.224218837061705,0.162154898433004,0.310037423347249,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BE,CD4 NC,Tier 1 (Strong),0.961,-1.59825261014255,0.177089661502378,1.79524787144741e-19,2.43576666558172e-17,0.202249618334585,0.142937422886945,0.286173538673905,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2AB,CD8 S100B,Tier 1 (Strong),0.984,-1.39172386689452,0.154205853898872,1.79524787144744e-19,2.43576666558172e-17,0.248646301837867,0.183788922436589,0.336391239461011,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BB,CD8 NC,Tier 1 (Strong),0.978,-1.49601458075466,0.166132040417775,2.15718385903761e-19,2.77801406118098e-17,0.224021201790747,0.161761317336177,0.310244128066005,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H3D,Mono C,Tier 1 (Strong),0.978,1.78913540435804,0.198683033663846,2.15718385903761e-19,2.77801406118098e-17,5.98427624987252,4.05405112266946,8.83352507188109,0,,,,Risk (↑ expression → ↑ MG risk)
PRSS16,CD8 NC,Tier 1 (Strong),0.816,-1.96944659474024,0.218706545702907,2.15718385903761e-19,2.77801406118098e-17,0.139534053731576,0.090889442894499,0.214213571243538,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BB,NK,Tier 1 (Strong),0.968,2.10805745592442,0.234864857041489,2.81763144630743e-19,3.5680606215073e-17,8.23223426458974,5.19513357333327,13.0448389883465,0,,,,Risk (↑ expression → ↑ MG risk)
ZBTB22,DC,Tier 1 (Strong),0.98,-1.59692784171047,0.178608831815696,3.85932654489005e-19,4.80707591607781e-17,0.202517729797944,0.142701370273356,0.287407407538894,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BC,NK R,Tier 1 (Strong),0.974,1.28502605302475,0.143947657442859,4.37571398873656e-19,5.27724998197157e-17,3.61476213147797,2.72614533010255,4.79303327041469,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H2BI,NK,Tier 1 (Strong),0.97,1.57974350729383,0.176961686263284,4.37571398873663e-19,5.27724998197157e-17,4.85371071016959,3.43116070611321,6.8660461213727,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H2BI,CD8 ET,Tier 1 (Strong),0.975,1.69353109440458,0.189895929328601,4.73900533704619e-19,5.53953270013491e-17,5.43865122967162,3.74842245543094,7.89103350801694,0,,,,Risk (↑ expression → ↑ MG risk)
HIST1H2BI,CD8 NC,Tier 1 (Strong),0.944,-1.95588476882869,0.21931369141289,4.73900533704619e-19,5.53953270013491e-17,0.141439280251027,0.0920208953825922,0.217397036996371,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4H,CD8 S100B,Tier 1 (Strong),0.955,1.16822167073825,0.131463204015005,6.31767549467568e-19,7.16443259829042e-17,3.2162679664229,2.48569870954079,4.16155811327155,0,,,,Risk (↑ expression → ↑ MG risk)
HSD17B8,Mono C,Tier 1 (Strong),0.949,1.72874817043599,0.196537723103448,1.41764440874246e-18,1.58400914965077e-16,5.63359718893199,3.83256477512227,8.28098653234892,0,,,,Risk (↑ expression → ↑ MG risk)
ZBTB9,B Mem,Tier 1 (Strong),0.998,-1.19169112093422,0.13702875986211,3.41826666780838e-18,3.76405654232001e-16,0.303707223892964,0.232174162094965,0.397279684407964,0,,,,Protective (↑ expression → ↓ MG risk)
VPS52,NK R,Tier 1 (Strong),0.971,1.19504313386239,0.137913364892201,4.50828802156087e-18,4.82450315321402e-16,3.30370026878118,2.52119485679976,4.32907255720763,0,,,,Risk (↑ expression → ↑ MG risk)
B3GALT4,DC,Tier 1 (Strong),0.897,-1.70450058774796,0.201787834064134,2.98899538323182e-17,2.94940089893446e-15,0.181863188204042,0.122455847503076,0.270090974813663,0,,,,Protective (↑ expression → ↓ MG risk)
HCG25,CD4 ET,Tier 1 (Strong),0.952,-0.880493071245373,0.104237447045899,2.98899538323182e-17,2.94940089893446e-15,0.414578444567329,0.337969890963935,0.508552067196444,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BG,CD8 S100B,Tier 1 (Strong),0.901,1.76905023099341,0.228316968526726,9.31891716890184e-15,7.22501353564451e-13,5.86528005391404,3.74922432785352,9.17563397187737,0,,,,Risk (↑ expression → ↑ MG risk)
ZBTB9,B IN,Tier 1 (Strong),0.996,-1.24840028162827,0.168546173872919,1.29311163124969e-13,9.63241389630897e-12,0.286963490639928,0.206232566702374,0.399296998902668,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H4B,CD8 ET,Tier 1 (Strong),0.855,-1.3572172724203,0.186582518159874,3.48773901754341e-13,2.49998500521649e-11,0.257375988634321,0.178544214525233,0.371013979375583,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H2BG,B IN,Tier 1 (Strong),0.873,-1.03760208112898,0.153803596055045,1.51684063966602e-11,9.14678982554158e-10,0.354303254608277,0.262092671591429,0.47895576577473,0,,,,Protective (↑ expression → ↓ MG risk)
HFE,CD8 NC,Tier 1 (Strong),0.872,-1.32323149375339,0.1963106957939,1.57846661782267e-11,9.44345619072175e-10,0.266273449192161,0.181227803261769,0.391228875860063,0,,,,Protective (↑ expression → ↓ MG risk)
RP11-367G6.3,Mono NC,Tier 1 (Strong),0.978,1.06689325280615,0.159062571811954,1.98148591486447e-11,1.10700955743678e-09,2.9063362077815,2.12788943321682,3.96956252557372,0,,,,Risk (↑ expression → ↑ MG risk)
SESN3,CD4 NC,Tier 1 (Strong),1,-0.60246842164822,0.0903215632212928,2.55348491576576e-11,1.40589698478175e-09,0.547458608179406,0.458635874469225,0.653483393588836,0,,,,Protective (↑ expression → ↓ MG risk)
SESN3,CD8 NC,Tier 1 (Strong),1,-0.805808225113737,0.120806096939875,2.55348491576576e-11,1.40589698478175e-09,0.446726724854869,0.352541062160355,0.566075240928347,0,,,,Protective (↑ expression → ↓ MG risk)
HIST1H3B,CD4 NC,Tier 1 (Strong),0.924,-0.809810292350427,0.130716835831155,5.82298688254111e-10,2.98939556307752e-08,0.444942467206581,0.344378033438986,0.574873481757524,0,,,,Protective (↑ expression → ↓ MG risk)
RP1-30M3.5,NK,Tier 1 (Strong),0.997,-1.09365249276738,0.177661468674966,7.46887690403809e-10,3.80862595415311e-08,0.33499070534949,0.236485361027364,0.47452735417971,0,,,,Protective (↑ expression → ↓ MG risk)
